E_initial,L_initial,type
2.104,128.56006388953668,none
2.104,132.5915090186239,none
2.104,80.12018409911225,none
2.104,88.88640293667879,none
2.104,63.58868283348943,none
2.104,160.37281467002092,none
2.104,118.30583743771284,none
2.104,82.68817257744766,none
2.104,161.57539164620184,none
2.104,88.62596597229326,none
2.104,106.07288337748338,none
2.104,90.2170147829819,none
2.104,135.1854189140904,none
2.104,153.2335470392166,none
2.104,147.1371836909226,none
2.104,108.83718904659239,none
2.104,89.32922523271007,none
2.104,147.87887236378123,none
2.104,106.04658958091338,none
2.104,27.464698031950885,none
2.104,89.04078326913371,none
2.104,67.29385253522598,none
2.104,146.25756589987915,none
2.104,150.8812777532008,none
2.104,109.13024340894911,none
2.104,122.16814926027247,none
2.104,123.9641633614239,none
2.104,136.10545484340085,none
2.104,99.74824958701122,none
2.104,107.4784755347433,none
2.104,158.64063996916477,none
2.104,153.9727342422458,none
2.104,156.61274258600255,none
2.104,104.68568093620729,none
2.104,156.84597093032352,none
2.104,78.22018548944769,none
2.104,39.40845723639738,none
2.104,73.52156306608745,none
2.104,128.54012606769817,none
2.104,78.5582605301515,none
2.104,83.22746357833884,none
2.104,77.52104957667734,none
2.104,123.130564349997,none
2.104,128.9387345031198,none
2.104,48.11940517233235,none
2.104,70.18831761652919,none
2.104,59.001160487697554,none
2.104,126.62879944584395,none
2.104,121.23110676829364,none
2.104,101.38667717719358,none
2.104,148.16007519487127,none
2.104,53.872507291352306,none
2.104,128.95575217879275,none
2.104,71.94640749563257,none
2.104,75.19847446217292,none
2.104,135.72415240349224,none
2.104,92.6488033887947,none
2.104,157.31647912018556,none
2.104,5.107609429346952,none
2.104,33.763704161107334,none
2.104,131.82437404469007,none
2.104,111.35599153543218,none
2.104,112.37951424079748,none
2.104,118.55609163859964,none
2.104,89.12090753542232,none
2.104,28.578650460669504,none
2.104,64.751807696738,none
2.104,151.33942423743352,none
2.104,152.47927287837405,none
2.104,90.72494214809394,none
2.104,31.86493367821194,none
2.104,114.3581342480904,none
2.104,134.7638336895701,none
2.104,67.72593127030872,none
2.104,83.3796384408457,none
2.104,82.99666234441278,none
2.104,123.91942901306588,none
2.104,64.12652610568395,none
2.104,100.31033042992807,none
2.104,100.91675967043301,none
2.104,152.51097480187286,none
2.104,108.9713167253199,none
2.104,85.85555535361664,none
2.104,155.25634984754134,none
2.104,142.39317904411809,none
2.104,95.99609054863913,none
2.104,80.86306849590397,none
2.104,133.01894053152355,none
2.104,84.65585161629456,none
2.104,124.90322051407979,none
2.104,92.02966546984837,none
2.104,117.62169281553778,none
2.104,70.96963823189098,none
2.104,121.12518291267185,none
2.104,94.23253967412896,none
2.104,108.52212617790138,none
2.104,140.73017067429163,none
2.104,151.66156766659944,none
2.104,135.51427184964746,none
2.104,122.94256457711903,none
2.104,56.36573612916333,none
2.104,153.41524417798243,none
2.104,160.49074871512286,none
2.104,102.20314847735692,none
2.104,117.21138004067517,none
2.104,43.52209246203677,none
2.104,121.86856887588229,none
2.104,150.15248266881883,none
2.104,131.7042898535224,none
