E_initial,L_initial,type
0.606,63.55086718288603,none
0.606,100.94102419782864,none
0.606,105.70249546263155,none
0.606,39.44773637257871,partial_2e
0.606,57.53957763724915,partial_1e
0.606,48.368474553237895,partial_2e
0.606,103.80883720042199,none
0.606,99.38387066142099,none
0.606,83.11563492221404,none
0.606,121.45993006973477,none
0.606,44.16406349472096,none
0.606,105.7164463579349,none
0.606,58.98083955272364,none
0.606,61.64684674675723,none
0.606,111.26510322041761,none
0.606,75.95242622445124,partial_1e
0.606,128.96624497269462,none
0.606,4.187159619729144,full
0.606,27.67909736080687,full
0.606,108.06810965703981,none
0.606,91.28836447302075,none
0.606,92.12743664583749,none
0.606,97.19092394375245,none
0.606,73.06029767308323,partial_1e
0.606,23.428449816016755,none
0.606,53.082789168339716,none
0.606,124.06632394385352,none
0.606,125.00075878425586,none
0.606,74.37526684833698,none
0.606,26.122507100120135,full
0.606,93.7494866306548,none
0.606,110.47784495475982,none
0.606,55.52094155716324,none
0.606,68.35367112864056,none
0.606,68.03971171798327,none
0.606,101.58772639938198,none
0.606,52.570190492728706,none
0.606,82.23325820580308,none
0.606,82.73040194069316,none
0.606,125.02674765748084,none
0.606,89.33343541879111,none
0.606,70.38339941197259,none
0.606,127.27737462715201,none
0.606,116.73229475861181,none
0.606,78.69649384066489,none
0.606,66.29061595587429,none
0.606,109.04740155982542,none
0.606,69.3998960501669,none
0.606,102.39422738663637,none
0.606,75.44486406075882,none
0.606,96.42491450728949,none
0.606,58.180095315031544,none
0.606,99.29703549965679,none
0.606,77.25075506380013,none
0.606,88.96519416077558,none
0.606,115.36897957374275,none
0.606,124.33041343170949,none
0.606,111.09304554995913,none
0.606,100.78690414060772,none
0.606,46.20798389561216,partial_2e
0.606,125.7680573189535,none
0.606,131.56847477391787,none
0.606,83.78496872817597,none
0.606,96.08854480124025,none
0.606,35.678912149408134,none
0.606,99.9064547847618,none
0.606,123.09328286155667,none
0.606,107.96966601463129,none
0.606,49.78329007670697,none
0.606,86.80503060967071,none
0.606,84.19350258921767,none
0.606,100.97185184483502,none
0.606,79.20884492956166,none
0.606,29.742001209089544,none
0.606,131.8359488761668,none
0.606,74.01229002652005,partial_1e
0.606,84.37794635705693,none
